source_title,mapped_title,match_score,match_kind,buyer_segment_rollup,buyer_segment
Solutions Engineer,Solutions Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Engineer,Senior Engineer,100.0,fuzzy,Practitioner,Technology End User
Director,Director,100.0,fuzzy,Decision Maker,Information Decision Maker
Data Analytics Lead,Data Analytics Lead,100.0,fuzzy,Practitioner,Data End User
QA Automation Engineer,QA Automation Engineer,100.0,fuzzy,Practitioner,Operations End User
Quality Engineer,Quality Engineer,100.0,fuzzy,Practitioner,Operations End User
Cyber Security Engineer,Cyber Security Engineer,100.0,fuzzy,Practitioner,Security End User
Senior Engineering Manager,Senior Engineering Manager,100.0,fuzzy,Practitioner,Technology End User
Electrical Engineer,Electrical Engineer,100.0,fuzzy,Practitioner,Technology End User
Python Developer,Python Developer,100.0,fuzzy,Practitioner,Technology End User
QA,QA,100.0,fuzzy,Practitioner,Operations End User
Senior Full Stack Developer,Senior Full Stack Developer,100.0,fuzzy,Practitioner,Technology End User
Enterprise Architect,Enterprise Architect,100.0,fuzzy,Practitioner,Technology End User
Senior IT Engineer,Senior IT Engineer,100.0,fuzzy,Practitioner,Information End User
Senior IT Specialist,Senior IT Specialist,100.0,fuzzy,Practitioner,Information End User
Senior Information Technology Engineer,Senior Information Technology Engineer,100.0,fuzzy,Practitioner,Information End User
Senior Information Technology Manager,Senior Information Technology Manager,100.0,fuzzy,Decision Maker,Information Decision Maker
Senior Infrastructure Engineer,Senior Infrastructure Engineer,100.0,fuzzy,Practitioner,Information End User
Computer Engineer,Computer Engineer,100.0,fuzzy,Practitioner,Technology End User
Cloud Data Engineer,Cloud Data Engineer,100.0,fuzzy,Practitioner,Data End User
Senior Network Engineer,Senior Network Engineer,100.0,fuzzy,Practitioner,Information End User
Senior Operations Engineer,Senior Operations Engineer,100.0,fuzzy,Practitioner,Operations End User
Senior QA Analyst,Senior QA Analyst,100.0,fuzzy,Practitioner,Operations End User
Senior QA Engineer,Senior QA Engineer,100.0,fuzzy,Practitioner,Operations End User
Senior Process Engineer,Senior Process Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Product Engineer,Senior Product Engineer,100.0,fuzzy,Practitioner,Product End User
Senior Product Manager,Senior Product Manager,100.0,fuzzy,Practitioner,Product End User
Senior Project Engineer,Senior Project Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Machine Learning Engineer,Senior Machine Learning Engineer,100.0,fuzzy,Practitioner,Technology End User
Quality Assurance Manager,Quality Assurance Manager,100.0,fuzzy,Practitioner,Operations End User
Quality Assurance Officer,Quality Assurance Officer,100.0,fuzzy,Practitioner,Operations End User
Quality Assurance,Quality Assurance,100.0,fuzzy,Practitioner,Operations End User
Engineering Lead,Engineering Lead,100.0,fuzzy,Practitioner,Technology End User
Project Lead,Project Lead,100.0,fuzzy,Practitioner,Technology End User
Programmer,Software Developer,100.0,alias,Practitioner,Technology End User
Software Engineer,Software Engineer,100.0,fuzzy,Practitioner,Technology End User
Maintenance Engineer,Maintenance Engineer,100.0,fuzzy,Practitioner,Operations End User
IT Consultant,IT Consultant,100.0,fuzzy,Practitioner,Information End User
Software QA Analyst,Software QA Analyst,100.0,fuzzy,Practitioner,Operations End User
IT Leader,IT Leader,100.0,fuzzy,Practitioner,Information End User
Senior Quality Analyst,Senior Quality Analyst,100.0,fuzzy,Practitioner,Operations End User
Senior Quality Assurance Engineer,Senior Quality Assurance Engineer,100.0,fuzzy,Practitioner,Technology End User
FULLSTACK DEVELOPER,Full Stack Developer,100.0,alias,Practitioner,Technology End User
Senior Security Engineer,Senior Security Engineer,100.0,fuzzy,Practitioner,Security End User
Senior Research Scientist,Senior Research Scientist,100.0,fuzzy,Practitioner,Product End User
Senior Site Reliability Engineer,Senior Site Reliability Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Software Developer,Senior Software Developer,100.0,fuzzy,Practitioner,Technology End User
Senior Software Development Engineer,Senior Software Development Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Software QA Engineer,Senior Software QA Engineer,100.0,fuzzy,Practitioner,Operations End User
Branch Operations Manager,Branch Operations Manager,100.0,fuzzy,Practitioner,Operations End User
Senior Solutions Architect,Senior Solutions Architect,100.0,fuzzy,Practitioner,Technology End User
Senior Solutions Engineer,Senior Solutions Engineer,100.0,fuzzy,Practitioner,Technology End User
Product Manager,Product Manager,100.0,fuzzy,Practitioner,Product End User
Technical Support Engineer,Technical Support Engineer,100.0,fuzzy,Practitioner,Technology End User
Project Delivery Manager,Project Delivery Manager,100.0,fuzzy,Practitioner,Product End User
Project Engineer,Project Engineer,100.0,fuzzy,Practitioner,Technology End User
Production Engineer,Production Engineer,100.0,fuzzy,Practitioner,Product End User
Technical Support Specialist,Technical Support Specialist,100.0,fuzzy,Practitioner,Technology End User
Technical Writer,Technical Writer,100.0,fuzzy,Practitioner,Technology End User
Assistant Manager IT,Assistant Manager IT,100.0,fuzzy,Practitioner,Information End User
Assistant Product Manager,Assistant Product Manager,100.0,fuzzy,Practitioner,Product End User
Tech Lead,Tech Lead,100.0,fuzzy,Practitioner,Technology End User
ML Engineer,Machine Learning Engineer,100.0,alias,Practitioner,Technology End User
Machine Learning Engineer,Machine Learning Engineer,100.0,fuzzy,Practitioner,Technology End User
MERN Stack Developer,Full Stack Developer,100.0,alias,Practitioner,Technology End User
MERN stack developer,Full Stack Developer,100.0,alias,Practitioner,Technology End User
IT,IT,100.0,fuzzy,Practitioner,Information End User
Mechanical Engineer,Mechanical Engineer,100.0,fuzzy,Practitioner,Technology End User
Back End Developer,Back End Developer,100.0,fuzzy,Practitioner,Technology End User
Senior Technical Lead,Senior Technical Lead,100.0,fuzzy,Practitioner,Technology End User
Technical Manager,Technical Manager,100.0,fuzzy,Practitioner,Technology End User
Technical Product Manager,Technical Product Manager,100.0,fuzzy,Practitioner,Product End User
Senior Test Engineer,Senior Test Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Software Engineer,Senior Software Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Web Developer,Senior Web Developer,100.0,fuzzy,Practitioner,Technology End User
Service Delivery Manager,Service Delivery Manager,100.0,fuzzy,Decision Maker,Information Decision Maker
Senior Staff Engineer,Senior Staff Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Support Engineer,Senior Support Engineer,100.0,fuzzy,Practitioner,Information End User
Service Engineer,Service Engineer,100.0,fuzzy,Practitioner,Technology End User
Fullstack Developer,Full Stack Developer,100.0,alias,Practitioner,Technology End User
Technical Support,Technical Support,100.0,fuzzy,Practitioner,Technology End User
Senior Systems Administrator,Senior Systems Administrator,100.0,fuzzy,Practitioner,Technology End User
Senior Systems Engineer,Senior Systems Engineer,100.0,fuzzy,Practitioner,Technology End User
Full-stack Developer,Full Stack Developer,100.0,alias,Practitioner,Technology End User
Process Engineer,Process Engineer,100.0,fuzzy,Practitioner,Technology End User
Principal Software Engineer,Principal Software Engineer,100.0,fuzzy,Practitioner,Technology End User
Full-Stack Developer,Full Stack Developer,100.0,alias,Practitioner,Technology End User
Full Stack Developer,Full Stack Developer,100.0,fuzzy,Practitioner,Technology End User
Associate Software Engineer,Associate Software Engineer,100.0,fuzzy,Practitioner,Technology End User
Automation Engineer,Automation Engineer,100.0,fuzzy,Practitioner,Technology End User
Staff Software Engineer,Staff Software Engineer,100.0,fuzzy,Practitioner,Technology End User
Software Developer,Software Developer,100.0,fuzzy,Practitioner,Technology End User
Site Reliability Engineer,Site Reliability Engineer,100.0,fuzzy,Practitioner,Technology End User
Software Architect,Software Architect,100.0,fuzzy,Practitioner,Technology End User
Technical Architect,Technical Architect,100.0,fuzzy,Practitioner,Technology End User
Storage Administrator,Storage Administrator,100.0,fuzzy,Practitioner,Information End User
Technical Lead,Technical Lead,100.0,fuzzy,Practitioner,Technology End User
Associate Software Developer,Associate Software Developer,100.0,fuzzy,Practitioner,Technology End User
Sr. Software Engineer,Sr. Software Engineer,100.0,fuzzy,Practitioner,Technology End User
Group Product Manager,Group Product Manager,100.0,fuzzy,Practitioner,Product End User
GenAI Engineer,Generative AI Engineer,100.0,alias,Practitioner,Data End User
General Manager Information Technology,General Manager Information Technology,100.0,fuzzy,Decision Maker,Information Decision Maker
Network Security Engineer,Network Security Engineer,100.0,fuzzy,Practitioner,Security End User
Network Security Specialist,Network Security Specialist,100.0,fuzzy,Practitioner,Security End User
Network Support Engineer,Network Support Engineer,100.0,fuzzy,Practitioner,Information End User
Generative AI Engineer,Generative AI Engineer,100.0,fuzzy,Practitioner,Data End User
AI Team Lead,AI Team Lead,100.0,fuzzy,Practitioner,Data End User
Lead Design Engineer,Lead Design Engineer,100.0,fuzzy,Practitioner,Product End User
Junior Data Scientist,Junior Data Scientist,100.0,fuzzy,Practitioner,Data End User
Senior Business Analyst,Senior Business Analyst,100.0,fuzzy,Practitioner,Data End User
Senior Business Intelligence Analyst,Senior Business Intelligence Analyst,100.0,fuzzy,Practitioner,Data End User
AI/ML Engineer,Machine Learning Engineer,100.0,alias,Practitioner,Technology End User
swe,Software Engineer,100.0,alias,Practitioner,Technology End User
Senior Cloud Engineer,Senior Cloud Engineer,100.0,fuzzy,Practitioner,Technology End User
Lead Software Developer,Lead Software Developer,100.0,fuzzy,Practitioner,Technology End User
Application Developer,Application Developer,100.0,fuzzy,Practitioner,Technology End User
Analytics,Analytics,100.0,fuzzy,Practitioner,Data End User
Software Test Engineer,Software Test Engineer,100.0,fuzzy,Practitioner,Technology End User
Lead Software Engineer,Lead Software Engineer,100.0,fuzzy,Practitioner,Technology End User
Lead AI Engineer,Lead AI Engineer,100.0,fuzzy,Practitioner,Data End User
Lead Quality Assurance Engineer,Lead Quality Assurance Engineer,100.0,fuzzy,Practitioner,Operations End User
AI ML Engineer,Machine Learning Engineer,100.0,alias,Practitioner,Technology End User
AI Lead,AI Lead,100.0,fuzzy,Practitioner,Data End User
AI,AI,100.0,fuzzy,Practitioner,Data End User
Product Manager/ Product Owner,Product Manager / Product Owner,98.4,fuzzy,Practitioner,Product End User
Senior System Administrator,Senior Systems Administrator,98.2,fuzzy,Practitioner,Technology End User
Senior Applications Developer,Senior Application Developer,98.2,fuzzy,Practitioner,Technology End User
Techical Support Engineer,Technical Support Engineer,98.0,fuzzy,Practitioner,Technology End User
Senior Solution Architect,Senior Solutions Architect,98.0,fuzzy,Practitioner,Technology End User
Senior Research Scientists,Senior Research Scientist,98.0,fuzzy,Practitioner,Product End User
"Senior Manager, Analytics",Senior Manager Analytics,98.0,fuzzy,Practitioner,Data End User
IT Systems Administrator,IT System Administrator,97.9,fuzzy,Practitioner,Information End User
Senior System Engineer,Senior Systems Engineer,97.8,fuzzy,Practitioner,Technology End User
Senior System Analyst,Senior Systems Analyst,97.7,fuzzy,Practitioner,Technology End User
Applications Developer,Application Developer,97.7,fuzzy,Practitioner,Technology End User
Sr Software Engineer,Sr. Software Engineer,97.6,fuzzy,Practitioner,Technology End User
IT Operations Manager,IT Operation Manager,97.6,fuzzy,Decision Maker,Information Decision Maker
Deputy Manager of Information Technology,Deputy Manager Of Information Technology,97.5,fuzzy,Practitioner,Information End User
Operations Engineer,Operation Engineer,97.3,fuzzy,Practitioner,Operations End User
Solution Architect,Solutions Architect,97.3,fuzzy,Practitioner,Technology End User
Operations Manager,Operation Manager,97.1,fuzzy,Practitioner,Operations End User
Solution Engineer,Solutions Engineer,97.1,fuzzy,Practitioner,Technology End User
Software Enginer,Software Engineer,97.0,fuzzy,Practitioner,Technology End User
ProductManager,Product Manager,96.6,fuzzy,Practitioner,Product End User
Associate Software developer,Associate Software Developer,96.4,fuzzy,Practitioner,Technology End User
Software Developer Engineer,Software Developer / Engineer,96.4,fuzzy,Practitioner,Technology End User
IT Specialist,IT Specialists,96.3,fuzzy,Practitioner,Information End User
Senior Software Engineer 1,Senior Software Engineer,96.0,fuzzy,Practitioner,Technology End User
Senior Software Enginner,Senior Software Engineer,95.8,fuzzy,Practitioner,Technology End User
Staff Software Engineer I,Staff Software Engineer,95.8,fuzzy,Practitioner,Technology End User
Information Technology Specialist,Information Technology Specialist ||,95.7,fuzzy,Practitioner,Information End User
AI Automation Engineer,QA Automation Engineer,95.5,fuzzy,Practitioner,Operations End User
Lead Software engineer,Lead Software Engineer,95.5,fuzzy,Practitioner,Technology End User
Lead software Engineer,Lead Software Engineer,95.5,fuzzy,Practitioner,Technology End User
Application Development Manager,IT Application Development Manager,95.4,fuzzy,Decision Maker,Information Decision Maker
Jr. Software Engineer,Sr. Software Engineer,95.2,fuzzy,Practitioner,Technology End User
AI Solution Architect,IT Solution Architect,95.2,fuzzy,Practitioner,Information End User
Senior Data Engineer 2,Senior Data Engineer,95.2,fuzzy,Practitioner,Technology End User
Senior Cloud Operation Engineer,Senior Cloud Engineer,95.0,fuzzy,Practitioner,Technology End User
Junior Software Developer,Software Developer,95.0,fuzzy,Practitioner,Technology End User
AI Product UX Designer,Product Designer,95.0,fuzzy,Practitioner,Product End User
Junior Full  Stack Developer,Full Stack Developer,95.0,fuzzy,Practitioner,Technology End User
Integration Engineer,Data Integration Engineer,95.0,fuzzy,Practitioner,Data End User
Senior Dotnet Developer,Senior Developer,95.0,fuzzy,Practitioner,Technology End User
Senior EHS Engineer,Senior Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Automation Engineer,Senior QA Automation Engineer,95.0,fuzzy,Practitioner,Operations End User
Sr Staff Technical Product Manager,Technical Product Manager,95.0,fuzzy,Practitioner,Product End User
Information Security Manager,Senior Manager Information Security,95.0,fuzzy,Practitioner,Security End User
Network Engineer,Senior Network Engineer,95.0,fuzzy,Practitioner,Information End User
Group Manager,Group IT Manager,95.0,fuzzy,Decision Maker,Information Decision Maker
Junior Software Engineer,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Junior Associate Software Developer,Associate Software Developer,95.0,fuzzy,Practitioner,Technology End User
Jr. Full Stack Developer,Full Stack Developer,95.0,fuzzy,Practitioner,Technology End User
Jr. Software Developer L1,Software Developer,95.0,fuzzy,Practitioner,Technology End User
Junior Engineer,Junior Data Engineer,95.0,fuzzy,Practitioner,Data End User
Planning Engineer,Senior Planning Engineer,95.0,fuzzy,Practitioner,Operations End User
Sr. Software Developer,Software Developer,95.0,fuzzy,Practitioner,Technology End User
AI Tech Lead,Tech Lead,95.0,fuzzy,Practitioner,Technology End User
Sr. Electrical Engineer,Electrical Engineer,95.0,fuzzy,Practitioner,Technology End User
Sr Azure Cloud Infrastructure Engineer,Cloud Infrastructure Engineer,95.0,fuzzy,Practitioner,Information End User
Sr Engineer Mechanical,Mechanical Engineer,95.0,fuzzy,Practitioner,Technology End User
OCI Technical Architect,Technical Architect,95.0,fuzzy,Practitioner,Technology End User
Information Technology Manager,Senior Information Technology Manager,95.0,fuzzy,Decision Maker,Information Decision Maker
Lead Infrastructure Engineer,Infrastructure Engineer,95.0,fuzzy,Practitioner,Information End User
Lead Product Manager,Product Manager,95.0,fuzzy,Practitioner,Product End User
Lead Product Software Engineer,Product Software Engineer,95.0,fuzzy,Practitioner,Product End User
Oracle WMS Quality Assurance Analyst,Quality Assurance Analyst,95.0,fuzzy,Practitioner,Data End User
Group Manager - IT,Group IT Manager,95.0,fuzzy,Decision Maker,Information Decision Maker
AI Product Designer,Product Designer,95.0,fuzzy,Practitioner,Product End User
Software Development Engineer,Senior Software Development Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Design Engineer,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Developer II,Software Developer,95.0,fuzzy,Practitioner,Technology End User
Associate Software Engineer - SDE II,Associate Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Associate Software Engineer -AI,Associate Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Associate Software QA Engineer,Associate Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior data Engineer,Senior Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior iOS Developer,Senior Developer,95.0,fuzzy,Practitioner,Technology End User
Software Developer Student,Software Developer,95.0,fuzzy,Practitioner,Technology End User
Automation Lead Engineer,Automation Engineer,95.0,fuzzy,Practitioner,Technology End User
Team Lead,AI Team Lead,95.0,fuzzy,Practitioner,Data End User
Team Lead - Quality Assurance,Quality Assurance Team Lead,95.0,fuzzy,Practitioner,Operations End User
Team Lead Quality Assurance Analyst,Quality Assurance Analyst,95.0,fuzzy,Practitioner,Data End User
Head of Product Development,Product Development,95.0,fuzzy,Practitioner,Product End User
Platform Engineer 3,Platform Engineer,95.0,fuzzy,Practitioner,Technology End User
Staff AI/ML Software Engineer,Staff Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Technical Engineer,Technical Support Engineer,95.0,fuzzy,Practitioner,Technology End User
Technical Account Manager,Technical Manager,95.0,fuzzy,Practitioner,Technology End User
Module Lead Software Engineer,Lead Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Staff Software Engineer - iOS,Staff Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Staff Machine Learning Engineer,Machine Learning Engineer ,95.0,fuzzy,Practitioner,Data End User
Researcher,UX Researcher,95.0,fuzzy,Practitioner,Product End User
Deputy Manager - Service Delivery,Service Delivery Manager,95.0,fuzzy,Decision Maker,Information Decision Maker
Student Software Engineer,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Site Civil Engineer,Civil Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Developer 2,Software Developer,95.0,fuzzy,Practitioner,Technology End User
Sr. Network Administrator,Network Administrator,95.0,fuzzy,Practitioner,Information End User
Sr. Network Security Engineer,Network Security Engineer,95.0,fuzzy,Practitioner,Security End User
Principal Software Engineer II,Principal Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Principal Software Engineer Machine Learning,Principal Machine Learning Engineer,95.0,fuzzy,Practitioner,Data End User
Sr. Solutions Architect,Solutions Architect,95.0,fuzzy,Practitioner,Technology End User
Software Engineer 3,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer I,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer II,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer (R&D),Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer (SDE-2),Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Full Stack Developer Intern,Full Stack Developer,95.0,fuzzy,Practitioner,Technology End User
Technical Specialist,Technical Product Specialist,95.0,fuzzy,Practitioner,Product End User
Senior Technical Architect,Technical Architect,95.0,fuzzy,Practitioner,Technology End User
Staff Product Manager,Product Manager,95.0,fuzzy,Practitioner,Product End User
Staff Research Engineer,Research Engineer,95.0,fuzzy,Practitioner,Technology End User
New Product Development,Product Development,95.0,fuzzy,Practitioner,Product End User
Operations,Gm Operations,95.0,fuzzy,Practitioner,Operations End User
Associate Machine Learning Engineer,Machine Learning Engineer ,95.0,fuzzy,Practitioner,Data End User
ServiceNow Developer,Servicenow Developer,95.0,fuzzy,Practitioner,Information End User
Process Automation Engineer,Automation Engineer,95.0,fuzzy,Practitioner,Technology End User
Process Design Engineer,Process Engineer,95.0,fuzzy,Practitioner,Technology End User
Sr. Salesforce Developer,Salesforce Developer,95.0,fuzzy,Practitioner,Technology End User
Process Safety Engineer,Process Engineer,95.0,fuzzy,Practitioner,Technology End User
Principal Software Development Engineer,Principal Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Web Application Developer,Senior Application Developer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Development Engineer In Test,Senior Software Development Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Engineer (AI/ML),Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Engineer (Backend),Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Engineer (ENO),Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Technical Business Analyst,Senior Business Analyst,95.0,fuzzy,Practitioner,Data End User
Senior Staff Software Engineer,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Founding Full Stack Developer,Full Stack Developer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Engineer | Scry AI,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Quality Assurance Engineer,Software Quality Assurance Engineer,95.0,fuzzy,Practitioner,Operations End User
Senior Software Engineer - I,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Engineer II,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Software Engineer In Test,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Manager Product Development,Product Development,95.0,fuzzy,Practitioner,Product End User
Senior Software Engineer - AI/ML,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Senior Technical Support Engineer,Senior Support Engineer,95.0,fuzzy,Practitioner,Information End User
Senior Technician,Senior IT Technician,95.0,fuzzy,Practitioner,Information End User
Senior Test Analyst,Senior Analyst,95.0,fuzzy,Practitioner,Technology End User
Technical Program Manager,Technical Manager,95.0,fuzzy,Practitioner,Technology End User
Technical Project Manager,Technical Manager,95.0,fuzzy,Practitioner,Technology End User
Principal Engineer - Machine Learning,Machine Learning Engineer ,95.0,fuzzy,Practitioner,Data End User
Software Engineer 1,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer 2,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer 2 - IC3,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Product Owner,Agile Product Owner,95.0,fuzzy,Practitioner,Product End User
Product Support Engineer,Senior Product Support Engineer,95.0,fuzzy,Practitioner,Product End User
Principal Engineer,Principal AI Engineer,95.0,fuzzy,Practitioner,Data End User
Associate Application Developer,Application Developer,95.0,fuzzy,Practitioner,Technology End User
Assistant Manager - IT Operations,Assistant Operations Manager,95.0,fuzzy,Practitioner,Operations End User
Assistant Manager - Quality Assurance,Quality Assurance Manager,95.0,fuzzy,Practitioner,Operations End User
Mechanical Engineer - HSM,Mechanical Engineer,95.0,fuzzy,Practitioner,Technology End User
Manager â€“ IT & Systems,IT Systems Manager,95.0,fuzzy,Decision Maker,Information Decision Maker
Sr. Full Stack Developer,Full Stack Developer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer - L2,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Software Engineer -QA,Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Assistant Manager,Assistant IT Manager,95.0,fuzzy,Decision Maker,Information Decision Maker
Assistant Manager - Database & Operations,Assistant Operations Manager,95.0,fuzzy,Practitioner,Operations End User
Senior Quality Assurance Manager,Quality Assurance Manager,95.0,fuzzy,Practitioner,Operations End User
Engineering,Engineering Lead,95.0,fuzzy,Practitioner,Technology End User
Lead Solutions Engineer,Solutions Engineer,95.0,fuzzy,Practitioner,Technology End User
IT Tech Lead,Tech Lead,95.0,fuzzy,Practitioner,Technology End User
Mechanical Design Engineer,Mechanical Engineer,95.0,fuzzy,Practitioner,Technology End User
Product Manager I,Product Manager,95.0,fuzzy,Practitioner,Product End User
Product Manager NPD,Product Manager,95.0,fuzzy,Practitioner,Product End User
IT Manager,IT Manager ||,95.0,fuzzy,Decision Maker,Information Decision Maker
System Administrator,IT System Administrator,95.0,fuzzy,Practitioner,Information End User
"Assistant Manager, Human Resources & Information Technology","Assistant Manager, Information Technology",95.0,fuzzy,Decision Maker,Information Decision Maker
Enterprise architect,Enterprise Architect,95.0,fuzzy,Practitioner,Technology End User
Product Lead,Product Team Lead,95.0,fuzzy,Practitioner,Product End User
Product Design,Product Design Lead,95.0,fuzzy,Practitioner,Product End User
Product Developer,Senior Product Developer,95.0,fuzzy,Practitioner,Product End User
Product Engineer,Senior Product Engineer,95.0,fuzzy,Practitioner,Product End User
Market Research Analyst,Research Analyst,95.0,fuzzy,Practitioner,Data End User
Mechanical CAD Engineer,Mechanical Engineer,95.0,fuzzy,Practitioner,Technology End User
Manager - Support Services,Support Services Manager,95.0,fuzzy,Decision Maker,Information Decision Maker
Product Engineering Intern,Product Engineering,95.0,fuzzy,Practitioner,Product End User
Senior Software Test Engineer,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Information Technology Infrastructure Team Lead,Information Technology Team Lead,95.0,fuzzy,Practitioner,Information End User
Senior Solutions Architect - Devops,Senior Solutions Architect,95.0,fuzzy,Practitioner,Technology End User
Senior Software Quality Engineer,Senior Software Engineer,95.0,fuzzy,Practitioner,Technology End User
Business Analyst,Senior Business Analyst,95.0,fuzzy,Practitioner,Data End User
