Person Title,Person Buyer Segment
VP,Other Decision Maker
Senior Software Developer,Technology End User
HR Partner,HR End User
Senior Machine Learning Engineer,Technology End User
Social Media Head,Marketing Decision Maker
Analyst,Data End User
Senior Frontend Engineer,Technology End User
R&D Product and Software Development Manager,Technology Decision Maker
Full Stack Developer,Technology End User
Project Associate,Other End User
Regional Product Manager,Product Decision Maker
Software Developer,Technology End User
Director,Other Decision Maker
Design Engineer,Other End User
System Administrator,Technology End User
Software Engineer,Technology End User
Lead Web Developer,Technology End User
Mlops Engineer,Technology End User
Software Engineer 2,Technology End User
Software Developer,Technology End User
Apprentice,Technology End User
Data Annotator,Data End User
Network Engineer,Other End User
Assistant professor,Industry LOB - Edu End User
Project Manager,Other End User
Business Development Manager,Sales End User
Marketing Director,Marketing Decision Maker
Ai Engineer,Technology End User
Frontend Developer,Technology End User
Senior Software Engineer,Technology End User
"Senior Manager, Maritime Digital Capability",Technology Decision Maker
Software Developer,Technology End User
Senior Software Engineer,Technology End User
Solution Architect,Technology End User
Senior Frontend Developer,Technology End User
Senior Software Developer,Technology End User
Technical Support Team Lead/Frontend Developer,Technology End User
Front-End Developer,Technology End User
Senior Full Stack Developer,Technology End User
Software Engineer,Technology End User
Lead DevOps Engineer,Technology End User
"Leader, Software Developer",Technology End User
Frontend Tech Lead,Technology End User
Systems Developer,Technology End User
Account Manager | App Growth Specialist,Sales Decision Maker
Architect,Technology End User
Software Engineer,Technology End User
SAP BI Consultant,Technology End User
Software Developer,Technology End User
BDE,Junk/Invalid
Product Content Specialist,Product End User
Engineer,Technology End User
Technical Lead,Technology End User
Human Resources Intern,HR End User
DEVELOPER,Technology End User
Sr. Architect – Cloud Infrastructure & Security (Director-level responsibilities),Other End User
Developer,Technology End User
Software Developer,Technology End User
Software Architect/Engineer (Full Stack),Technology End User
Engineering Projects,Junk/Invalid
Senior Product Manager,Product Decision Maker
Am (Is),Junk/Invalid
Visual Designer,Marketing End User
Cloud Engineer,Technology End User
Senior assistant manager,Other End User
Technology Innovation Lead - Water Reuse,Information End User
Analysts,Data End User
Senior Software Developer,Technology End User
APM,Junk/Invalid
Associate Software Engineer,Technology End User
Engineer,Technology End User
Technical Product Manager,Product Decision Maker
Junior Software Development Engineer in Test,Technology End User
Software Engineer,Technology End User
Consultant,Other End User
Business Analyst,Other End User
Software Developer,Technology End User
Python Developer,Technology End User
Team lead,Other End User
Engineer,Technology End User
Software Engineer,Technology End User
State Manager,Other End User
Founder,Other Decision Maker
Gym trainer,Other End User
Software Engineer,Technology End User
Web Developer / Lead of Backend Developer,Technology End User
Founder,Other Decision Maker
System engineer,Technology End User
SDE 2,Other End User
Asst. General Manager - Product & Marketing,Product End User
Senior Business Manager/Product Manager,Product Decision Maker
Full-stack Developer,Technology End User
Engineer,Technology End User
Production Control Analyst,Product End User
Lead Data & Analytics,Data End User
Head of Corporate Social Responsibility,Other Decision Maker
Senior Executive,Other Decision Maker
System Engineer,Technology End User
Assistant Manager-It,Other End User
Cloud Engineer,Technology End User
Frontend Developer,Technology End User
Associate Engr-App/Associate Engr-App Dev_DES,Technology End User
Product Manager/Product Manager (Crypto),Product Decision Maker
Qa Lead,Other End User
Software Engineer,Technology End User
Machine Learning Engineer,Technology End User
Product Lead/Software Engineer,Product End User
Digital Strategist,Marketing End User
Software developer,Technology End User
Senior Software Developer,Technology End User
Software Developer,Technology End User
Product Operations Lead,Product End User
Back End Developer,Technology End User
"Supervisor, Enggineeing Control Room",Technology End User
Data Scientist,Data End User
pbi,Junk/Invalid
Product Manager,Product Decision Maker
Senior Manager,Other End User
Technical Lead,Technology End User
Senior Software Engineer,Technology End User
Project Engineering,Technology End User
Engineer,Technology End User
Field Marketing Manager,Marketing End User
Engineer - Npi,Technology End User
Chief Operating Officer,Chief Executive
System engineer,Technology End User
Principal Consultant | Scrum Master | Sr. Business Analyst,Data End User
Diskominfos,Junk/Invalid
Senior Software Engineer,Technology End User
Software developer,Technology End User
Solution Consultant,Technology End User
Desktop support engineer,Sales End User
Business analyst,Other End User
Affinity - Senior It Consultant,Information End User
Get - Civil Engineer,Technology End User
Machine Learning Engineer,Technology End User
"Digital Product Manager /  Senior Manager, Digital (Web",Product Decision Maker
"""Desarrollo De Negocio, Marketing Cloud""",Technology End User
Post man,Other End User
Product Manager,Product Decision Maker
System Engineer,Technology End User
Senior Software Engineer,Technology End User
Engineer,Technology End User
Assistant System Engineer,Technology End User
Team Leader Engineering,Technology End User
Team Leader/Development Team Lead,Technology End User
Founder & Chief Executive Officer,Other Decision Maker
Lead I - Software Engineering,Technology End User
Senior Section Engineer,Technology End User
Software Engineer I,Technology End User
Account Manager,Sales End User
Software Developer,Technology End User
Clinical Research Associate,Industry LOB - Healthcare End User
Application Developer,Technology End User
Back End Developer,Technology End User
Staff Software Engineer,Technology End User
SENIOR SOFTWARE ENGINEER,Technology End User
Maths Teacher,Other End User
Web Developer,Technology End User
Technical lead,Technology End User
Technical Lead – NICE CXone Platform Specialist (Contact Center Platforms),Information End User
engineer,Technology End User
Analyst,Data End User
Senior Analyst,Technology End User
MACHINE LEARNING ENGINEER,Technology End User
Product Manager - Load & Haul,Product Decision Maker
Assistant System Engineer,Technology End User
HRO,Junk/Invalid
Software Engineer / Partner,Technology End User
Founder,Other Decision Maker
Analyst,Data End User
Director Of Growth,Marketing Decision Maker
Cloud Engineer,Technology End User
Senior Software Developer,Technology End User
Sales Specialist,Sales End User
Staff Software Developer,Technology End User
Software Engineer,Technology End User
Senior Software Engineer,Technology End User
Cyber risk analyst( 1 ),Security End User
Recruiter/Talent Acquisition - Recruiter / Team Lead,HR End User
Engineer,Technology End User
Assistant Manager-Digital Marketing,Marketing End User
Co-Founder & CPTO,Other Decision Maker
Associate,Other End User
Senior Software Engineer,Technology End User
Senior Lead Software Engineer,Technology End User
Quality Engineering Analyst,Technology End User
Sous chef,Other End User
Senior Software Engineer,Technology End User
Software Engineer,Technology End User
Senior Backend Developer,Technology End User
Gen AI developer,Data End User
Software Developer,Technology End User
Engineer,Technology End User
ERP,Junk/Invalid
Manasa,Other End User
Mobile Frontend Engineer,Technology End User
Software Developer,Technology End User
Software Engineer,Technology End User
CSR,Other End User
Software Engineer,Technology End User
Senior Product Manager,Product Decision Maker
Technical Specialist,Technology End User
Software Engineer,Technology End User
Planning Engineer,Operations End User
Associate consultant,Other End User
Malsian,Junk/Invalid
Associate Consultant,Other End User
Lead Software Engineer,Technology End User
